game_id,offense,last_drive_q2_clock,last_drive_q2_play_id,last_drive_q2,last_drive_end_event_q2,next_drive_q3_play_id,next_drive_q3,next_drive_end_event_q3
20075,CAFR,05:16,3958059,7.0,TOUCHDOWN,3959009,8.0,TOUCHDOWN
20075,CASL,00:45,3958664,8.0,TOUCHDOWN,3958878,9.0,FUMBLE
20076,NEUN,01:32,3943102,5.0,TOUCHDOWN,3943702,6.0,MISSED FG
20076,NYBU,00:34,3943265,6.0,MISSED FG,3943958,7.0,FIELD GOAL
20077,MABC,07:59,3944199,3.0,PUNT,3945105,4.0,FUMBLE
20077,MAUN,01:35,3944792,4.0,END OF HALF,3945262,5.0,TOUCHDOWN
20078,INBS,02:50,3944466,6.0,FIELD GOAL,3945632,7.0,PUNT
20078,PAST,05:31,3944084,5.0,TOUCHDOWN,3945366,6.0,MISSED FG
20079,ILST,00:25,3947497,6.0,END OF HALF,3947745,7.0,PUNT
20079,MIWE,01:18,3947266,6.0,PUNT,3947976,7.0,TOUCHDOWN
20080,IAST,01:01,3944606,6.0,TOUCHDOWN,3944994,7.0,PUNT
20080,IAUN,05:35,3944247,6.0,TOUCHDOWN,3945533,7.0,PUNT
20081,FLMI,01:58,3950000,7.0,PUNT,3950605,8.0,TOUCHDOWN
20081,NCAP,01:36,3950210,7.0,END OF HALF,3951165,8.0,FIELD GOAL
20082,TNMI,04:10,3941517,5.0,PUNT,3942240,6.0,PUNT
20082,VAPI,01:06,3941876,6.0,END OF HALF,3942659,7.0,TOUCHDOWN
20083,NCWF,01:05,3938460,4.0,FIELD GOAL,3938684,5.0,TOUCHDOWN
20083,VANO,00:18,3938584,5.0,END OF HALF,3938705,6.0,PUNT
20084,LANI,00:03,3951673,6.0,END OF HALF,3951792,7.0,PUNT
20084,LASW,00:33,3951525,6.0,PUNT,3952161,7.0,PUNT
20085,NMST,00:53,3956603,8.0,END OF HALF,3956809,9.0,PUNT
20085,NMUN,01:50,3955829,8.0,FIELD GOAL,3957249,9.0,SAFETY
20086,MSST,00:21,3952047,6.0,END OF HALF,3952707,7.0,TOUCHDOWN
20086,NCST,01:09,3951569,6.0,PUNT,3952417,7.0,FUMBLE
20087,NCCE,00:40,3956037,8.0,END OF HALF,3956224,9.0,PUNT
20087,WVMA,01:16,3955374,7.0,FIELD GOAL,3956546,8.0,PUNT
20088,KYMU,05:50,3943577,5.0,MISSED FG,3944804,6.0,PUNT
20088,OHCI,00:17,3944058,5.0,END OF HALF,3944333,6.0,TOUCHDOWN
